CollectedDate,Path,Title,TotalViews,UniqueVisitors
"2026-05-23","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-24","/ZacharyLuz/Get-AzAIModelAvailability","Overview",11,5
"2026-05-24","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,2
"2026-05-24","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-25","/ZacharyLuz/Get-AzAIModelAvailability","Overview",11,5
"2026-05-25","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,2
"2026-05-25","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-26","/ZacharyLuz/Get-AzAIModelAvailability","Overview",8,5
"2026-05-26","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",1,1
"2026-05-27","/ZacharyLuz/Get-AzAIModelAvailability","Overview",8,5
"2026-05-27","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",1,1
"2026-05-28","/ZacharyLuz/Get-AzAIModelAvailability","Overview",7,5
"2026-05-28","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",1,1
"2026-05-29","/ZacharyLuz/Get-AzAIModelAvailability","Overview",7,5
"2026-05-29","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",1,1
"2026-05-30","/ZacharyLuz/Get-AzAIModelAvailability","Overview",3,3
"2026-05-30","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",1,1
"2026-05-31","/ZacharyLuz/Get-AzAIModelAvailability","Overview",3,3
"2026-05-31","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",1,1
"2026-06-01","/ZacharyLuz/Get-AzAIModelAvailability","Overview",3,3
"2026-06-01","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",1,1
"2026-06-02","/ZacharyLuz/Get-AzAIModelAvailability","Overview",3,3
